node	genus	central_sp_number
1	Burkholderiales	0
105	Sutterella	0
4	Guyana	0
5	Coprobacillus	0
6	Erysipelotrichaceae	0
112	Alistipes	0
17	Butyricimonas	0
123	Odoribacter	0
125	Parabacteroides	0
131	Prevotella	0
132	Paraprevotella	0
133	Bacteroides	0
49	Barnesiella	0
154	Coprobacter	0
52	Akkermansia	0
158	Dialister	0
55	Acidaminococcus	0
160	Phascolarctobacterium	0
59	Eubacterium	0
60	Bacteroides	0
61	Eubacterium	0
62	Butyrivibrio	0
171	Ruminococcus	0
66	Clostridium	0
176	Ruminococcus	0
178	Dorea	0
73	Coprococcus	0
74	Eubacterium	0
182	Roseburia	0
78	Eubacterium	0
79	Lachnospiraceae	0
80	Clostridium	0
186	Coprococcus	0
83	Eubacterium	0
84	Anaerostipes	0
190	Oscillospiraceae	0
87	Clostridiales	0
88	Ruminococcus	0
89	Clostridium	0
90	Eubacterium	0
195	Ruminococcus	0
93	Subdoligranulum	0
197	Faecalibacterium	0
201	Bifidobacterium	0
100	Collinsella	0
101	Escherichia	0
