browne_species,browne_score,species
Alistipes finegoldii,0.185,Alistipes_finegoldii_56071
Alistipes finegoldii,0.1846,Alistipes_finegoldii_56071
Anaerostipes hadrus ,0.554,Anaerostipes_hadrus_55206
Anaerostipes hadrus_98%,0.569,Anaerostipes_hadrus_55206
Bacteroides caccae,0.2,Bacteroides_caccae_53434
Bacteroides coprocola_94%,0.185,Bacteroides_coprocola_61586
Bacteroides finegoldi,0.185,Bacteroides_finegoldii_57739
Bacteroides finegoldii_98%,0.185,Bacteroides_finegoldii_57739
Bacteroides intestinalis_98%,0.185,Bacteroides_intestinalis_61596
Bacteroides ovatus,0.185,Bacteroides_ovatus_58035
Bacteroides plebius_95%,0.169,Bacteroides_plebeius_61623
Bacteroides salyersiae,0.185,Bacteroides_salyersiae_54873
Bacteroides thetaiotaomicron,0.2,Bacteroides_thetaiotaomicron_56941
Bacteroides thetaiotaomicron,0.2,Bacteroides_thetaiotaomicron_56941
Bacteroides thetaiotaomicron,0.2,Bacteroides_thetaiotaomicron_56941
Bacteroides uniformis,0.185,Bacteroides_uniformis_57318
Bacteroides vulgatus,0.185,Bacteroides_vulgatus_57955
Bacteroides xylanisolvens,0.2,Bacteroides_xylanisolvens_57185
Bifidobacterium adolescentis,0.138,Bifidobacterium_adolescentis_56815
Bifidobacterium adolescentis,0.138,Bifidobacterium_adolescentis_56815
Blautia wexlerae,0.492,Blautia_wexlerae_56130
Clostridium boltae_94%,0.677,Clostridium_bolteae_57158
Coprococcus comes,0.523,Coprococcus_comes_61587
Coprococcus eutactus,0.523,Coprococcus_eutactus_61480
Coprococcus eutactus_97%,0.538,Coprococcus_eutactus_61480
Dorea formicigenerans_98%,0.554,Dorea_formicigenerans_56346
Dorea longicatena,0.523,Dorea_longicatena_59913
Escherichia coli,NA,Escherichia_coli_58110
Eubacterium eligens,0.554,Eubacterium_eligens_61678
Eubacterium hallii,0.585,Eubacterium_hallii_61477
Eubacterium hallii_97%,0.554,Eubacterium_hallii_61477
Eubacterium ramulus,0.523,Eubacterium_ramulus_59802
Eubacterium rectale,0.477,Eubacterium_rectale_56927
Eubacterium siraeum,0.477,Eubacterium_siraeum_57634
Faecalibacterium prausnitzii,0.138,Faecalibacterium_prausnitzii_57453
Faecalibacterium prausnitzii,0.462,Faecalibacterium_prausnitzii_61481
Faecalibacterium prausnitzii,0.462,Faecalibacterium_prausnitzii_62201
Faecalibacterium prausnitzii_98%,0.462,Faecalibacterium_prausnitzii_62201
Parabacteroides distasonis,0.2,Parabacteroides_distasonis_56985
Parabacteroides distasonis,0.215,Parabacteroides_distasonis_56985
Parabacteroides distasonis,0.2,Parabacteroides_distasonis_56985
Parabacteroides merdae,0.215,Parabacteroides_merdae_56972
Prevotella copri,0.046,Prevotella_copri_61740
Roseburia hominis,0.6,Roseburia_hominis_61877
Roseburia intestinalis,0.615,Roseburia_intestinalis_56239
Roseburia inulinivorans_94%,0.615,Roseburia_inulinivorans_61943
Roseburia inulinvorans,0.631,Roseburia_inulinivorans_61943
Ruminococcus bromii,0.569,Ruminococcus_bromii_62047
Ruminococcus bromii_93%,0.585,Ruminococcus_bromii_62047
Ruminococcus bromii_94%,0.662,Ruminococcus_bromii_62047
Ruminococcus gnavus,0.585,Ruminococcus_gnavus_57638
Ruminococcus gnavus_98%,0.615,Ruminococcus_gnavus_57638
Ruminococcus torques,0.585,Ruminococcus_torques_62045
Ruminococcus torques,0.554,Ruminococcus_torques_62045
Ruminococcus torques_97%,0.538,Ruminococcus_torques_62045
