species	nb_extracellular
Acidaminococcus_fermentans_61896	10
Acinetobacter_baylyi_46310-62977.6	28
Actinomyces_sp_62581	34
Adlercreutzia_equolifaciens_60310	14
Aeromonas_caviae_57221-1454008.3	32
Aeromonas_hydrophila_57540-1268075.3	46
Aeromonas_hydrophila_57782-1419584.3	51
Aeromonas_hydrophila_60229-1354302.3	48
Aggregatibacter_actinomycetemcomitans_57720-907492.3	6
Aggregatibacter_actinomycetemcomitans_57999-1089447.3	6
Alistipes_sp_58363	28
Anaplasma_phagocytophilum_56954-1184254.3	8
Arcobacter_butzleri_57576-367737.6	15
Bacillus_anthracis_57688-1217984.3	111
Bacillus_anthracis_57688-261591.4	138
Bacillus_cereus_52301-1053181.3	105
Bacillus_cereus_55841-526994.3	127
Bacillus_cereus_56036-1053202.3	143
Bacillus_cereus_56751-1053229.3	106
Bacillus_cereus_57595-1396.149	169
Bacillus_cereus_57918-226900.8	128
Bacillus_cereus_57982-1053198.3	134
Bacillus_cereus_58113-1053194.3	127
Bacillus_cereus_61731-526968.3	108
Bacillus_cereus_61732-526986.3	90
Bacillus_pumilus_56522-1225787.3	76
Bacteroides_barnesiae_47015	24
Bacteroides_fluxus_62283	28
Bacteroides_fragilis_54507-1339327.3	37
Bacteroides_fragilis_56548-457424.5	36
Bacteroides_ovatus_58035-1339286.3	85
Bacteroides_salanitronis_62074	40
Bacteroides_sartorii_54642	64
Bacteroides_stercorirosoris_59710	55
Bifidobacterium_angulatum_45832	25
Bifidobacterium_animalis_58116	9
Bifidobacterium_bifidum_55065	32
Bifidobacterium_breve_57133	18
Bifidobacterium_dentium_55719	20
Bifidobacterium_gallinarum_57128	20
Bifidobacterium_pseudocatenulatum_57754	26
Bilophila_wadsworthia_57364	20
Blautia_hansenii_56031	57
Blautia_producta_56315	82
Bordetella_bronchiseptica_58296-743275.4	24
Brucella_abortus_57261-1029825.4	19
Brucella_abortus_57261-35802.7	17
Burkholderia_pseudomallei_54177-1229785.3	104
Burkholderia_pseudomallei_54177-243160.12	77
Burkholderia_pseudomallei_60511-1434929.3	86
Campylobacter_jejuni_54938-360109.10	13
Campylobacter_jejuni_57666-1381117.3	20
Campylobacter_jejuni_60245-1365662.3	27
Campylobacter_jejuni_62119-683083.3	13
Citrobacter_braakii_56022	49
Citrobacter_freundii_56148	49
Citrobacter_freundii_56776	54
Cloacibacillus_evryensis_54931	17
Clostridiaceae_bacterium_58376	25
Clostridium_bartlettii_61535	44
Clostridium_butyricum_56361	96
Clostridium_cf_54592	50
