species_id	HMP_SRS063190	HMP_SRS022713	HMP_SRS015388	HMP_SRS097958	HMP_SRS044535	HMP_SRS893382	HMP_SRS053335	HMP_SRS015694	HMP_SRS058268	HMP_SRS063518	HMP_SRS077127	HMP_SRS016132	HMP_SRS1054928	HMP_SRS019968	HMP_SRS011586	HMP_SRS893380	HMP_SRS1054716	HMP_SRS147977	HMP_SRS077392	HMP_SRS023346	HMP_SRS022524	HMP_SRS893292	HMP_SRS019808	HMP_SRS046810	HMP_SRS017103	HMP_SRS013521	HMP_SRS015246	HMP_SRS065176	HMP_SRS015486	HMP_SRS020394	HMP_SRS077641	HMP_SRS1055056	HMP_SRS017916	HMP_SRS045713	HMP_SRS015264	HMP_SRS098655	HMP_SRS011134	HMP_SRS1055095	HMP_SRS023176	HMP_SRS055966	HMP_SRS016267	HMP_SRS012902	HMP_SRS020508	HMP_SRS016095	HMP_SRS018351	HMP_SRS893342	HMP_SRS054905	HMP_SRS065397	HMP_SRS011271	HMP_SRS015453	HMP_SRS097920	HMP_SRS014412	HMP_SRS018541	HMP_SRS1041132	HMP_SRS018049	HMP_SRS043667	HMP_SRS014979	HMP_SRS015782	HMP_SRS893231	HMP_SRS1041031	HMP_SRS893230	HMP_SRS018427	HMP_SRS023715	HMP_SRS014534	HMP_SRS020328	HMP_SRS019381	HMP_SRS013638	HMP_SRS016517	HMP_SRS011405	HMP_SRS049712	HMP_SRS077454	HMP_SRS1041139	HMP_SRS019267	HMP_SRS075821	HMP_SRS064232	HMP_SRS056481	HMP_SRS1055043	HMP_SRS016753	HMP_SRS050941	HMP_SRS1041038	HMP_SRS893279	HMP_SRS042893	HMP_SRS012273	HMP_SRS104327	HMP_SRS019397	HMP_SRS018936	HMP_SRS077589	HMP_SRS017821	HMP_SRS051610	HMP_SRS048164	HMP_SRS018575	HMP_SRS053356	HMP_SRS050974	HMP_SRS016585	HMP_SRS014923	HMP_SRS021948	HMP_SRS019445	HMP_SRS1041033	HMP_SRS014855	HMP_SRS016056	HMP_SRS013098	HMP_SRS017191	HMP_SRS148511	HMP_SRS015579	HMP_SRS017745	HMP_SRS013476	HMP_SRS013940	HMP_SRS893256	HMP_SRS017307	HMP_SRS015663	HMP_SRS013687	HMP_SRS013800	HMP_SRS893259	HMP_SRS055017	HMP_SRS014948	HMP_SRS076876	HMP_SRS014313	HMP_SRS1055034	HMP_SRS1041095	HMP_SRS017521	HMP_SRS017375	HMP_SRS1041032	HMP_SRS075716	HMP_SRS018888	HMP_SRS063489	HMP_SRS016629	HMP_SRS011529	HMP_SRS020271	HMP_SRS045324	HMP_SRS1041092	HMP_SRS019178	HMP_SRS017701	HMP_SRS147377	HMP_SRS014459	HMP_SRS048870	HMP_SRS054352	HMP_SRS893378	HMP_SRS149784	HMP_SRS043768	HMP_SRS1041142	HMP_SRS018623	HMP_SRS016381	HMP_SRS064757	HMP_SRS1041118	HMP_SRS893369	HMP_SRS054956	HMP_SRS014683	HMP_SRS019601	HMP_SRS019693	HMP_SRS100907	HMP_SRS014736	HMP_SRS020869	HMP_SRS016897	HMP_SRS017622	HMP_SRS017247	HMP_SRS022137	HMP_SRS016018	HMP_SRS1055049	HMP_SRS1041037	HMP_SRS042284	HMP_SRS020233	HMP_SRS011302	HMP_SRS047433	HMP_SRS893170	HMP_SRS046068	HMP_SRS015960	HMP_SRS1041036	HMP_SRS014287	HMP_SRS1041090	HMP_SRS019496	HMP_SRS075878	HMP_SRS046502	HMP_SRS893373	HMP_SRS893383	HMP_SRS1041091	HMP_SRS077231	HMP_SRS075984	HMP_SRS893327	HMP_SRS015578	HMP_SRS076804	HMP_SRS018656	HMP_SRS018133	HMP_SRS011239	HMP_SRS1041134	HMP_SRS076756	HMP_SRS049959	HMP_SRS893285	HMP_SRS013951	HMP_SRS049446	HMP_SRS054590	HMP_SRS142980	HMP_SRS017859	HMP_SRS014613	HMP_SRS016335	HMP_SRS016954	HMP_SRS015190	HMP_SRS046717	HMP_SRS1041143	HMP_SRS052697	HMP_SRS046712	HMP_SRS075773	HMP_SRS019910	HMP_SRS013965	HMP_SRS063928	HMP_SRS049900	HMP_SRS150029	HMP_SRS143466	HMP_SRS149244	HMP_SRS1055022	HMP_SRS1041112	HMP_SRS057480	HMP_SRS149879	HMP_SRS016840	HMP_SRS016438	HMP_SRS024663	HMP_SRS055288	HMP_SRS144135	HMP_SRS893172	HMP_SRS020622	HMP_SRS045826	HMP_SRS098061	HMP_SRS064973	HMP_SRS012849	HMP_SRS013158	HMP_SRS045004	HMP_SRS893366	HMP_SRS1041039	HMP_SRS1041130	HMP_SRS1054691	HMP_SRS893252	HMP_SRS018817	HMP_SRS013382	HMP_SRS023583	HMP_SRS018836	HMP_SRS016203	HMP_SRS045195	HMP_SRS043841	HMP_SRS021153	HMP_SRS015133	HMP_SRS019582
Yaniella_halotolerans_59132	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Thermodesulfovibrio_thiophilus_59110	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bradyrhizobium_sp_59283	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rhodopseudomonas_palustris_61217	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Porphyromonas_sp_60792	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mesorhizobium_sp_61369	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Haemophilus_influenzae_58001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Arcobacter_sp_55051	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rhizobium_leguminosarum_57834	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lactobacillus_suebicus_58434	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
