species_id	nb_extracellular	nb_sequences	nb_sequences_known
Acidaminococcus_intestini_54097	10	2393	1718
Akkermansia_muciniphila_55290	22	2498	1495
Alistipes_finegoldii_56071	37	3021	1882
Alistipes_indistinctus_62207	26	2419	1552
Alistipes_onderdonkii_55464	53	3314	2014
Alistipes_putredinis_61533	18	2337	1483
Alistipes_senegalensis_58364	42	3301	1991
Alistipes_shahii_62199	48	3258	1980
Alistipes_sp_58363	28	2769	1786
Alistipes_sp_59510	15	2508	1567
Alistipes_sp_60764	21	2130	1268
Anaerostipes_hadrus_55206	39	3007	2429
Bacteroidales_bacterium_58650	27	2803	1685
Bacteroides_caccae_53434	31	3668	2500
Bacteroides_cellulosilyticus_58046	66	5068	3214
Bacteroides_clarus_62282	34	3107	2108
Bacteroides_coprocola_61586	40	3814	2448
Bacteroides_coprophilus_61767	23	3306	2195
Bacteroides_eggerthii_54457	32	4125	2593
Bacteroides_faecis_58503	56	4872	3066
Bacteroides_finegoldii_57739	47	4194	2670
Bacteroides_fragilis_54507	37	5165	3122
Bacteroides_fragilis_56548	37	4879	3082
Bacteroides_intestinalis_61596	50	4723	3059
Bacteroides_massiliensis_44749	31	4498	2723
Bacteroides_nordii_55557	56	5171	3022
Bacteroides_ovatus_58035	86	6590	3969
Bacteroides_pectinophilus_61619	56	2982	2145
Bacteroides_plebeius_61623	38	3597	2437
Bacteroides_salyersiae_54873	41	4298	2706
Bacteroides_sartorii_54642	64	5679	3280
Bacteroides_stercoris_56735	35	3410	2267
Bacteroides_thetaiotaomicron_56941	62	5209	3399
Bacteroides_uniformis_57318	28	4110	2574
Bacteroides_vulgatus_57955	35	4303	2810
Barnesiella_intestinihominis_62208	29	2990	1901
Bifidobacterium_adolescentis_56815	36	1967	1573
Bifidobacterium_longum_57796	21	2058	1646
Blautia_wexlerae_56130	81	4401	3363
Burkholderiales_bacterium_56577	11	2420	1792
Butyricimonas_virosa_58742	12	4008	2709
Butyrivibrio_crossotus_61674	30	2406	1889
Clostridium_leptum_61499	43	3105	2354
Clostridium_nexile_61654	65	3796	3007
Clostridium_sp_61482	36	2604	2078
Collinsella_sp_62205	15	1924	1645
Coprobacillus_sp_47700	52	3889	3142
Coprobacter_fastidiosus_56550	35	3411	2156
Coprobacter_sp_60889	34	3387	2134
Coprococcus_comes_61587	41	3218	2588
Coprococcus_eutactus_61480	30	2597	2116
Coprococcus_sp_62244	46	2593	2097
Dialister_invisus_61905	9	1955	1386
Dialister_succinatiphilus_62213	14	2150	1545
Dorea_formicigenerans_56346	50	3871	3109
Dorea_longicatena_61473	29	2769	2330
Erysipelotrichaceae_bacterium_55770	33	2887	2402
Escherichia_coli_58110	41	3989	2981
Eubacterium_eligens_61678	34	2632	2086
Eubacterium_hallii_61477	34	2893	2303
Eubacterium_ramulus_59802	64	3215	2572
Eubacterium_rectale_56927	48	3105	2446
Eubacterium_siraeum_57634	32	2375	1802
Eubacterium_ventriosum_61474	63	2543	1954
Faecalibacterium_cf_62236	26	2783	1892
Faecalibacterium_prausnitzii_57453	22	2776	1925
Faecalibacterium_prausnitzii_61481	24	2791	1946
Faecalibacterium_prausnitzii_62201	24	3231	2107
Odoribacter_laneus_62216	15	3304	2211
Odoribacter_splanchnicus_62174	23	3831	2545
Oscillibacter_sp_60799	17	2785	1849
Oscillospiraceae_bacterium_54867	25	3723	2399
Parabacteroides_distasonis_56985	30	4511	2903
Parabacteroides_goldsteinii_56831	56	5539	3485
Parabacteroides_johnsonii_55217	25	3842	2545
Parabacteroides_merdae_56972	17	3663	2405
Paraprevotella_clara_33712	23	3442	2149
Paraprevotella_xylaniphila_62280	25	3145	1968
Phascolarctobacterium_sp_59817	11	2303	1702
Phascolarctobacterium_sp_59818	10	1812	1329
Phascolarctobacterium_succinatutens_61948	6	1979	1514
Prevotella_copri_61740	23	2808	1867
Prevotella_stercorea_58308	34	2480	1603
Roseburia_hominis_61877	30	3388	2515
Roseburia_intestinalis_56239	34	3963	2813
Roseburia_inulinivorans_61943	35	3996	2887
Ruminococcus_bicirculans_59300	55	2746	2049
Ruminococcus_bromii_62047	37	2169	1607
Ruminococcus_champanellensis_61009	55	2313	1841
Ruminococcus_gnavus_57638	38	3521	2845
Ruminococcus_lactaris_55568	43	2524	2042
Ruminococcus_obeum_61472	47	3547	2805
Ruminococcus_sp_55468	60	3442	2760
Ruminococcus_torques_62045	34	3121	2579
Subdoligranulum_sp_62068	20	4486	2686
Sutterella_wadsworthensis_56828	12	2560	1805
Sutterella_wadsworthensis_62218	11	2374	1684
