ontology	GO_id	description
BP	GO:0000001	mitochondrion inheritance
BP	GO:0000002	mitochondrial genome maintenance
BP	GO:0000003	reproduction
BP	GO:0000011	vacuole inheritance
BP	GO:0000012	single strand break repair
BP	GO:0000018	regulation of DNA recombination
BP	GO:0000019	regulation of mitotic recombination
BP	GO:0000023	maltose metabolic process
BP	GO:0000025	maltose catabolic process
BP	GO:0000027	ribosomal large subunit assembly
BP	GO:0000028	ribosomal small subunit assembly
BP	GO:0000032	cell wall mannoprotein biosynthetic process
BP	GO:0000038	very long-chain fatty acid metabolic process
BP	GO:0000041	transition metal ion transport
BP	GO:0000050	urea cycle
BP	GO:0000052	citrulline metabolic process
BP	GO:0000053	argininosuccinate metabolic process
BP	GO:0000054	ribosomal subunit export from nucleus
BP	GO:0000056	ribosomal small subunit export from nucleus
BP	GO:0000070	mitotic sister chromatid segregation
BP	GO:0000075	cell cycle checkpoint
BP	GO:0000077	DNA damage checkpoint
BP	GO:0000079	regulation of cyclin-dependent protein serine/threonine kinase activity
BP	GO:0000082	G1/S transition of mitotic cell cycle
BP	GO:0000086	G2/M transition of mitotic cell cycle
BP	GO:0000096	sulfur amino acid metabolic process
BP	GO:0000097	sulfur amino acid biosynthetic process
BP	GO:0000098	sulfur amino acid catabolic process
BP	GO:0000101	sulfur amino acid transport
BP	GO:0000103	sulfate assimilation
BP	GO:0000105	histidine biosynthetic process
BP	GO:0000122	negative regulation of transcription by RNA polymerase II
BP	GO:0000128	flocculation
BP	GO:0000154	rRNA modification
BP	GO:0000160	phosphorelay signal transduction system
BP	GO:0000162	tryptophan biosynthetic process
BP	GO:0000165	MAPK cascade
BP	GO:0000183	chromatin silencing at rDNA
BP	GO:0000184	nuclear-transcribed mRNA catabolic process, nonsense-mediated decay
BP	GO:0000186	activation of MAPKK activity
BP	GO:0000187	activation of MAPK activity
BP	GO:0000209	protein polyubiquitination
BP	GO:0000226	microtubule cytoskeleton organization
BP	GO:0000245	spliceosomal complex assembly
BP	GO:0000255	allantoin metabolic process
BP	GO:0000256	allantoin catabolic process
BP	GO:0000266	mitochondrial fission
BP	GO:0000270	peptidoglycan metabolic process
BP	GO:0000271	polysaccharide biosynthetic process
BP	GO:0000272	polysaccharide catabolic process
BP	GO:0000278	mitotic cell cycle
BP	GO:0000280	nuclear division
BP	GO:0000281	mitotic cytokinesis
BP	GO:0000282	cellular bud site selection
BP	GO:0000302	response to reactive oxygen species
BP	GO:0000303	response to superoxide
BP	GO:0000305	response to oxygen radical
BP	GO:0000316	sulfite transport
BP	GO:0000338	protein deneddylation
BP	GO:0000350	generation of catalytic spliceosome for second transesterification step
BP	GO:0000373	Group II intron splicing
BP	GO:0000375	RNA splicing, via transesterification reactions
BP	GO:0000377	RNA splicing, via transesterification reactions with bulged adenosine as nucleophile
BP	GO:0000378	RNA exon ligation
BP	GO:0000380	alternative mRNA splicing, via spliceosome
BP	GO:0000387	spliceosomal snRNP assembly
BP	GO:0000389	mRNA 3'-splice site recognition
BP	GO:0000390	spliceosomal complex disassembly
BP	GO:0000393	spliceosomal conformational changes to generate catalytic conformation
BP	GO:0000394	RNA splicing, via endonucleolytic cleavage and ligation
BP	GO:0000395	mRNA 5'-splice site recognition
BP	GO:0000398	mRNA splicing, via spliceosome
BP	GO:0000413	protein peptidyl-prolyl isomerization
BP	GO:0000414	regulation of histone H3-K36 methylation
BP	GO:0000415	negative regulation of histone H3-K36 methylation
BP	GO:0000422	autophagy of mitochondrion
BP	GO:0000451	rRNA 2'-O-methylation
BP	GO:0000453	enzyme-directed rRNA 2'-O-methylation
BP	GO:0000454	snoRNA guided rRNA pseudouridine synthesis
BP	GO:0000455	enzyme-directed rRNA pseudouridine synthesis
BP	GO:0000459	exonucleolytic trimming involved in rRNA processing
BP	GO:0000460	maturation of 5.8S rRNA
BP	GO:0000462	maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)
BP	GO:0000463	maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)
BP	GO:0000464	endonucleolytic cleavage in ITS1 upstream of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)
BP	GO:0000466	maturation of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)
BP	GO:0000467	exonucleolytic trimming to generate mature 3'-end of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)
BP	GO:0000469	cleavage involved in rRNA processing
BP	GO:0000470	maturation of LSU-rRNA
BP	GO:0000478	endonucleolytic cleavage involved in rRNA processing
BP	GO:0000479	endonucleolytic cleavage of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)
BP	GO:0000578	embryonic axis specification
BP	GO:0000715	nucleotide-excision repair, DNA damage recognition
BP	GO:0000716	transcription-coupled nucleotide-excision repair, DNA damage recognition
BP	GO:0000719	photoreactive repair
BP	GO:0000723	telomere maintenance
BP	GO:0000724	double-strand break repair via homologous recombination
BP	GO:0000725	recombinational repair
BP	GO:0000726	non-recombinational repair
BP	GO:0000731	DNA synthesis involved in DNA repair
BP	GO:0000733	DNA strand renaturation
BP	GO:0000735	removal of nonhomologous ends
BP	GO:0000736	double-strand break repair via single-strand annealing, removal of nonhomologous ends
BP	GO:0000737	DNA catabolic process, endonucleolytic
BP	GO:0000738	DNA catabolic process, exonucleolytic
BP	GO:0000741	karyogamy
BP	GO:0000742	karyogamy involved in conjugation with cellular fusion
BP	GO:0000746	conjugation
BP	GO:0000747	conjugation with cellular fusion
BP	GO:0000755	cytogamy
BP	GO:0000768	syncytium formation by plasma membrane fusion
BP	GO:0000819	sister chromatid segregation
BP	GO:0000820	regulation of glutamine family amino acid metabolic process
BP	GO:0000821	regulation of arginine metabolic process
BP	GO:0000902	cell morphogenesis
BP	GO:0000904	cell morphogenesis involved in differentiation
BP	GO:0000910	cytokinesis
BP	GO:0000911	cytokinesis by cell plate formation
BP	GO:0000912	assembly of actomyosin apparatus involved in cytokinesis
BP	GO:0000915	actomyosin contractile ring assembly
BP	GO:0000917	division septum assembly
BP	GO:0000918	division septum site selection
BP	GO:0000920	septum digestion after cytokinesis
BP	GO:0000921	septin ring assembly
BP	GO:0000947	amino acid catabolic process to alcohol via Ehrlich pathway
BP	GO:0000949	aromatic amino acid family catabolic process to alcohol via Ehrlich pathway
BP	GO:0000955	amino acid catabolic process via Ehrlich pathway
BP	GO:0000956	nuclear-transcribed mRNA catabolic process
BP	GO:0000957	mitochondrial RNA catabolic process
BP	GO:0000958	mitochondrial mRNA catabolic process
BP	GO:0000959	mitochondrial RNA metabolic process
BP	GO:0000963	mitochondrial RNA processing
BP	GO:0000964	mitochondrial RNA 5'-end processing
BP	GO:0000965	mitochondrial RNA 3'-end processing
BP	GO:0000966	RNA 5'-end processing
BP	GO:0000967	rRNA 5'-end processing
BP	GO:0000968	tRNA exon ligation
BP	GO:0000971	tRNA exon ligation utilizing 2',3' cyclic phosphate of 5'-exon as source of linkage phosphate
BP	GO:0001079	nitrogen catabolite regulation of transcription from RNA polymerase II promoter
BP	GO:0001081	nitrogen catabolite repression of transcription from RNA polymerase II promoter
BP	GO:0001101	response to acid chemical
BP	GO:0001112	DNA-templated transcriptional open complex formation
BP	GO:0001113	transcriptional open complex formation at RNA polymerase II promoter
BP	GO:0001120	protein-DNA complex remodeling
BP	GO:0001121	bacterial transcription
BP	GO:0001123	transcription initiation from bacterial-type RNA polymerase promoter
BP	GO:0001124	transcription elongation from bacterial-type RNA polymerase promoter
BP	GO:0001125	transcription termination from bacterial-type RNA polymerase promoter
BP	GO:0001171	reverse transcription
BP	GO:0001172	transcription, RNA-templated
BP	GO:0001207	histone displacement
BP	GO:0001300	chronological cell aging
BP	GO:0001302	replicative cell aging
BP	GO:0001306	age-dependent response to oxidative stress
BP	GO:0001315	age-dependent response to reactive oxygen species
BP	GO:0001320	age-dependent response to reactive oxygen species involved in chronological cell aging
BP	GO:0001323	age-dependent general metabolic decline involved in chronological cell aging
BP	GO:0001324	age-dependent response to oxidative stress involved in chronological cell aging
BP	GO:0001402	signal transduction involved in filamentous growth
BP	GO:0001403	invasive growth in response to glucose limitation
BP	GO:0001407	glycerophosphodiester transmembrane transport
BP	GO:0001501	skeletal system development
BP	GO:0001503	ossification
