"species_id"	"host"	"species.host"	"nb_sites_within"	"depth_within"	"snps_within"	"pi_within"	"snps_kb_within"	"pi_bp_within"	"nb_host"	"nb_sites_between"	"snps_between"	"pi_between"	"snps_kb_between"	"pi_bp_between"
"Acidaminococcus_intestini_54097"	"HMP_SRS050941"	"Acidaminococcus_intestini_54097.HMP_SRS050941"	990860	11038542	15942	2814.89498214	16.0890539531	0.00284086044662	11	991137	38833	2546.85913342311	39.1802545965	0.00256963379777277
"Acidaminococcus_intestini_54097"	"HMP_SRS046502"	"Acidaminococcus_intestini_54097.HMP_SRS046502"	956837	5624584	7695	2227.55846464	8.04212211693	0.00232804382004	11	991137	38833	2546.85913342311	39.1802545965	0.00256963379777277
"Acidaminococcus_intestini_54097"	"HMP_SRS015246"	"Acidaminococcus_intestini_54097.HMP_SRS015246"	990742	10327878	17508	3277.09639144	17.6716037071	0.00330771925631	11	991137	38833	2546.85913342311	39.1802545965	0.00256963379777277
"Acidaminococcus_intestini_54097"	"HMP_SRS023715"	"Acidaminococcus_intestini_54097.HMP_SRS023715"	991120	40603816	41563	2052.37687078	41.9353862297	0.00207076526635	11	991137	38833	2546.85913342311	39.1802545965	0.00256963379777277
"Acidaminococcus_intestini_54097"	"HMP_SRS149244"	"Acidaminococcus_intestini_54097.HMP_SRS149244"	990666	13513887	18515	2738.7917708	18.6894473011	0.00276459651467	11	991137	38833	2546.85913342311	39.1802545965	0.00256963379777277
"Acidaminococcus_intestini_54097"	"HMP_SRS011239"	"Acidaminococcus_intestini_54097.HMP_SRS011239"	976607	6971340	3149	752.66218172	3.22442906922	0.000770690955236	11	991137	38833	2546.85913342311	39.1802545965	0.00256963379777277
"Acidaminococcus_intestini_54097"	"HMP_SRS065176"	"Acidaminococcus_intestini_54097.HMP_SRS065176"	984771	7881389	8220	1820.55027608	8.34711826404	0.00184870419222	11	991137	38833	2546.85913342311	39.1802545965	0.00256963379777277
"Acidaminococcus_intestini_54097"	"HMP_SRS023346"	"Acidaminococcus_intestini_54097.HMP_SRS023346"	988813	9148113	5271	1054.56766792	5.33063380032	0.00106649858762	11	991137	38833	2546.85913342311	39.1802545965	0.00256963379777277
"Acidaminococcus_intestini_54097"	"HMP_SRS014683"	"Acidaminococcus_intestini_54097.HMP_SRS014683"	991117	28171024	11471	817.04112918	11.5738101556	0.000824363954185	11	991137	38833	2546.85913342311	39.1802545965	0.00256963379777277
"Acidaminococcus_intestini_54097"	"HMP_SRS016517"	"Acidaminococcus_intestini_54097.HMP_SRS016517"	990192	15092804	21191	2684.86838298	21.4009000275	0.00271146240626	11	991137	38833	2546.85913342311	39.1802545965	0.00256963379777277
