"species.host"	"within_host_relative_abundance"
"Acidaminococcus_intestini_54097.HMP_SRS050941"	0.0155556956833
"Acidaminococcus_intestini_54097.HMP_SRS046502"	0.0211275852208
"Acidaminococcus_intestini_54097.HMP_SRS015246"	0.0337321109022
"Acidaminococcus_intestini_54097.HMP_SRS023715"	0.0699908042063
"Acidaminococcus_intestini_54097.HMP_SRS149244"	0.0213454270642
"Acidaminococcus_intestini_54097.HMP_SRS011239"	0.00408734836096
"Acidaminococcus_intestini_54097.HMP_SRS065176"	0.0133514892064
"Acidaminococcus_intestini_54097.HMP_SRS023346"	0.0107997805111
"Acidaminococcus_intestini_54097.HMP_SRS014683"	0.0242129477664
"Acidaminococcus_intestini_54097.HMP_SRS016517"	0.0125917343354
"Acidaminococcus_intestini_54097.HMP_SRS015264"	0.0108608077662
"Akkermansia_muciniphila_55290.HMP_SRS022713"	0.0385028978064
"Akkermansia_muciniphila_55290.HMP_SRS075773"	0.0380291231095
"Akkermansia_muciniphila_55290.HMP_SRS098061"	0.0383825547543
"Akkermansia_muciniphila_55290.HMP_SRS014855"	0.0172954403825
"Akkermansia_muciniphila_55290.HMP_SRS015133"	0.037453410408
"Akkermansia_muciniphila_55290.HMP_SRS893373"	0.00674557985569
"Akkermansia_muciniphila_55290.HMP_SRS014979"	0.0787053600694
"Akkermansia_muciniphila_55290.HMP_SRS011134"	0.0101006640484
"Akkermansia_muciniphila_55290.HMP_SRS1041039"	0.0200913435686
"Akkermansia_muciniphila_55290.HMP_SRS015663"	0.0168569416793
"Akkermansia_muciniphila_55290.HMP_SRS015579"	0.0303208346763
"Akkermansia_muciniphila_55290.HMP_SRS016132"	0.101810465967
"Akkermansia_muciniphila_55290.HMP_SRS075878"	0.00515117879763
"Akkermansia_muciniphila_55290.HMP_SRS017103"	0.0153961276434
"Akkermansia_muciniphila_55290.HMP_SRS075716"	0.020704596216
"Akkermansia_muciniphila_55290.HMP_SRS054905"	0.0459136608473
"Akkermansia_muciniphila_55290.HMP_SRS056481"	0.0507259853258
"Akkermansia_muciniphila_55290.HMP_SRS893382"	0.0156492251011
"Akkermansia_muciniphila_55290.HMP_SRS893383"	0.0206441936773
"Akkermansia_muciniphila_55290.HMP_SRS1041036"	0.0134944452974
"Akkermansia_muciniphila_55290.HMP_SRS1041031"	0.0767994528278
"Akkermansia_muciniphila_55290.HMP_SRS1041033"	0.291115496551
"Akkermansia_muciniphila_55290.HMP_SRS018623"	0.0150949758427
"Akkermansia_muciniphila_55290.HMP_SRS013687"	0.0303840622506
"Akkermansia_muciniphila_55290.HMP_SRS013098"	0.022522285089
"Akkermansia_muciniphila_55290.HMP_SRS1055056"	0.0298347236427
"Akkermansia_muciniphila_55290.HMP_SRS019693"	0.00929255687003
"Akkermansia_muciniphila_55290.HMP_SRS893170"	0.00985089556309
"Akkermansia_muciniphila_55290.HMP_SRS021948"	0.0158509591809
"Akkermansia_muciniphila_55290.HMP_SRS075821"	0.0209391193179
"Akkermansia_muciniphila_55290.HMP_SRS019968"	0.00625004743548
"Akkermansia_muciniphila_55290.HMP_SRS020869"	0.0118171731212
"Akkermansia_muciniphila_55290.HMP_SRS013940"	0.0147141394665
"Akkermansia_muciniphila_55290.HMP_SRS097920"	0.0103435818709
"Akkermansia_muciniphila_55290.HMP_SRS018936"	0.0546500479738
"Akkermansia_muciniphila_55290.HMP_SRS020328"	0.0574222113435
"Akkermansia_muciniphila_55290.HMP_SRS017521"	0.00659689190132
"Akkermansia_muciniphila_55290.HMP_SRS016018"	0.00888025132337
"Akkermansia_muciniphila_55290.HMP_SRS018836"	0.00811185918504
"Akkermansia_muciniphila_55290.HMP_SRS019601"	0.02127417612
"Akkermansia_muciniphila_55290.HMP_SRS077392"	0.144180792291
"Akkermansia_muciniphila_55290.HMP_SRS1041142"	0.0632226387235
"Akkermansia_muciniphila_55290.HMP_SRS023715"	0.0474517455415
"Alistipes_finegoldii_56071.HMP_SRS046502"	0.0378375150114
"Alistipes_finegoldii_56071.HMP_SRS893259"	0.00658325830424
"Alistipes_finegoldii_56071.HMP_SRS075773"	0.0141735993081
"Alistipes_finegoldii_56071.HMP_SRS045713"	0.00541876611282
"Alistipes_finegoldii_56071.HMP_SRS1055022"	0.0176703644032
"Alistipes_finegoldii_56071.HMP_SRS019267"	0.00825426633966
"Alistipes_finegoldii_56071.HMP_SRS015694"	0.0236930755108
"Alistipes_finegoldii_56071.HMP_SRS893172"	0.0243137324707
"Alistipes_finegoldii_56071.HMP_SRS055288"	0.0239501410756
"Alistipes_finegoldii_56071.HMP_SRS098061"	0.0126209065965
"Alistipes_finegoldii_56071.HMP_SRS047433"	0.0122632758855
"Alistipes_finegoldii_56071.HMP_SRS064757"	0.0103466949464
"Alistipes_finegoldii_56071.HMP_SRS014855"	0.0250600582363
"Alistipes_finegoldii_56071.HMP_SRS015133"	0.00717887593469
"Alistipes_finegoldii_56071.HMP_SRS045004"	0.00601023398603
"Alistipes_finegoldii_56071.HMP_SRS1055043"	0.0479337948699
"Alistipes_finegoldii_56071.HMP_SRS018888"	0.0481679068623
"Alistipes_finegoldii_56071.HMP_SRS014979"	0.00566973008939
"Alistipes_finegoldii_56071.HMP_SRS076756"	0.00701666767337
"Alistipes_finegoldii_56071.HMP_SRS893279"	0.025702927599
"Alistipes_finegoldii_56071.HMP_SRS1041092"	0.037968337211
"Alistipes_finegoldii_56071.HMP_SRS052697"	0.00799805448073
"Alistipes_finegoldii_56071.HMP_SRS012849"	0.0256886034339
"Alistipes_finegoldii_56071.HMP_SRS063190"	0.00833157601667
"Alistipes_finegoldii_56071.HMP_SRS1041142"	0.00836254250862
"Alistipes_finegoldii_56071.HMP_SRS076804"	0.0169282234082
"Alistipes_finegoldii_56071.HMP_SRS097920"	0.0245824398366
"Alistipes_finegoldii_56071.HMP_SRS016203"	0.0234013086537
"Alistipes_finegoldii_56071.HMP_SRS019582"	0.0225767057694
"Alistipes_finegoldii_56071.HMP_SRS016335"	0.0170654482108
"Alistipes_finegoldii_56071.HMP_SRS077231"	0.00646690958775
"Alistipes_finegoldii_56071.HMP_SRS075878"	0.055635178816
"Alistipes_finegoldii_56071.HMP_SRS011134"	0.0134873375567
"Alistipes_finegoldii_56071.HMP_SRS018656"	0.0947102263534
"Alistipes_finegoldii_56071.HMP_SRS054905"	0.0348210760672
"Alistipes_finegoldii_56071.HMP_SRS018049"	0.456596778767
"Alistipes_finegoldii_56071.HMP_SRS150029"	0.00743819823281
"Alistipes_finegoldii_56071.HMP_SRS075984"	0.0684972396188
"Alistipes_finegoldii_56071.HMP_SRS015486"	0.162250877943
"Alistipes_finegoldii_56071.HMP_SRS019445"	0.0196949659271
"Alistipes_finegoldii_56071.HMP_SRS016629"	0.0485034813536
"Alistipes_finegoldii_56071.HMP_SRS1041032"	0.0252222371898
"Alistipes_finegoldii_56071.HMP_SRS011405"	0.00776374394355
"Alistipes_finegoldii_56071.HMP_SRS045195"	0.0155226400733
"Alistipes_finegoldii_56071.HMP_SRS1041118"	0.0169282664846
"Alistipes_finegoldii_56071.HMP_SRS098655"	0.00632289198573
"Alistipes_finegoldii_56071.HMP_SRS013098"	0.0327710662613
"Alistipes_finegoldii_56071.HMP_SRS011271"	0.00892687626608
"Alistipes_finegoldii_56071.HMP_SRS053335"	0.0209035218133
"Alistipes_finegoldii_56071.HMP_SRS017307"	0.00341606036508
"Alistipes_finegoldii_56071.HMP_SRS1041039"	0.0427720966843
"Alistipes_finegoldii_56071.HMP_SRS018427"	0.00337368449245
"Alistipes_finegoldii_56071.HMP_SRS1054691"	0.148098425887
"Alistipes_finegoldii_56071.HMP_SRS016517"	0.00320306376523
"Alistipes_finegoldii_56071.HMP_SRS104327"	0.00764134278731
"Alistipes_finegoldii_56071.HMP_SRS017916"	0.0264072734634
"Alistipes_finegoldii_56071.HMP_SRS075821"	0.0149920805754
"Alistipes_finegoldii_56071.HMP_SRS097958"	0.00757076037451
"Alistipes_finegoldii_56071.HMP_SRS014923"	0.00491542624718
"Alistipes_finegoldii_56071.HMP_SRS043768"	0.00646090324228
"Alistipes_finegoldii_56071.HMP_SRS077127"	0.0242434763014
"Alistipes_finegoldii_56071.HMP_SRS011586"	0.00862239466114
"Alistipes_finegoldii_56071.HMP_SRS015579"	0.0265174635366
"Alistipes_finegoldii_56071.HMP_SRS893369"	0.0136052038458
"Alistipes_finegoldii_56071.HMP_SRS019496"	0.087863214454
