GO_id	description	ontology	why	original_keyword	behaviour
GO:0000160	phosphorelay signal transduction system	BP	child of GO:0007154	cell communication	quorum_sensing
GO:0000165	MAPK cascade	BP	child of GO:0007154	cell communication	quorum_sensing
GO:0000186	activation of MAPKK activity	BP	child of GO:0007154	cell communication	quorum_sensing
GO:0000187	activation of MAPK activity	BP	child of GO:0007154	cell communication	quorum_sensing
GO:0000293	ferric-chelate reductase activity	MF	keyword match	chelate	siderophores
GO:0001079	nitrogen catabolite regulation of transcription from RNA polymerase II promoter	BP	child of GO:0007154	cell communication	quorum_sensing
GO:0001081	nitrogen catabolite repression of transcription from RNA polymerase II promoter	BP	child of GO:0007154	cell communication	quorum_sensing
GO:0001402	signal transduction involved in filamentous growth	BP	child of GO:0007154	cell communication	quorum_sensing
GO:0001507	acetylcholine catabolic process in synaptic cleft	BP	child of GO:0007154	cell communication	quorum_sensing
GO:0001836	release of cytochrome c from mitochondria	BP	child of GO:0007154	cell communication	quorum_sensing
GO:0001952	regulation of cell-matrix adhesion	BP	keyword match	adhesi	biofilm
GO:0001953	negative regulation of cell-matrix adhesion	BP	keyword match	adhesi	biofilm
GO:0001959	regulation of cytokine-mediated signaling pathway	BP	child of GO:0007154	cell communication	quorum_sensing
GO:0001960	negative regulation of cytokine-mediated signaling pathway	BP	child of GO:0007154	cell communication	quorum_sensing
GO:0002048	pyoverdine metabolic process	BP	child of GO:0009237	siderophore	siderophores
GO:0002049	pyoverdine biosynthetic process	BP	child of GO:0009237	siderophore	siderophores
GO:0002221	pattern recognition receptor signaling pathway	BP	child of GO:0007154	cell communication	quorum_sensing
GO:0002224	toll-like receptor signaling pathway	BP	child of GO:0007154	cell communication	quorum_sensing
GO:0002429	immune response-activating cell surface receptor signaling pathway	BP	child of GO:0007154	cell communication	quorum_sensing
GO:0002755	MyD88-dependent toll-like receptor signaling pathway	BP	child of GO:0007154	cell communication	quorum_sensing
GO:0002756	MyD88-independent toll-like receptor signaling pathway	BP	child of GO:0007154	cell communication	quorum_sensing
