gene	gene_length	Cdifficile_homolog	weighing
abrB	141	CD630_31200	0.96
asrC	323	CD630_22310	0.82
bltD	146	CD630_12120	0.98
CD630_00550	245	CD630_00550	0.97
CD630_08810	347	CD630_08810	0.93
CD630_10450	350	CD630_10450	0.79
cotG	225	CD630_15670	0.83
CD630_20350	363	CD630_20350	0.93
CD630_20480	290	CD630_20480	0.83
CD630_21080	448	CD630_21080	0.80
CD630_25890	293	CD630_25890	0.81
CD630_34940	84	CD630_34940	0.94
cotCB	190	CD630_05980	1.00
dacF1	429	CD630_24980	0.92
dacF	387	CD630_12910	0.96
dapG	407	CD630_13220	0.91
dnaA	439	CD630_00010	0.84
spoVFA	291	CD630_29680	0.76
ftsQ	234	CD630_26500	0.76
gpr	317	CD630_24700	0.92
mcsA	164	CD630_00240	1.00
parB	261	CD630_36730	0.90
pdp	441	CD630_12250	0.92
Hypothetical Protein PHP Domain	247	13414_6#25_02367	0.79
purB	481	CD630_13340	0.82
rplJ	168	CD630_00630	0.95
sepF	152	CD630_26220	0.87
sigE	240	CD630_26430	0.88
sigF	240	CD630_07720	0.83
sigG	257	CD630_26420	0.88
sigH	215	CD630_00570	0.94
sigK	94	CD630_12300	0.91
sipL	516	CD630_35670	0.96
sodA	234	CD630_16310	0.98
spmA	184	CD630_35420	0.95
spmB	173	CD630_35410	0.97
spo0A	275	CD630_12140	0.99
spoIIGA	281	CD630_26440	0.98
spoIIIAA	322	CD630_11920	1.00
spoIIIAB	173	CD630_11930	0.96
spoIIIAC	65	CD630_11940	0.86
spoIIIAD	128	CD630_11950	0.83
spoIIIAE	401	CD630_11960	0.96
spoIIIAG	184	CD630_11980	0.99
spoIIIAH	229	CD630_11990	0.89
spoIIP	339	CD630_24690	0.93
spoIIR	219	CD630_35640	0.84
spoIVA	491	CD630_26290	0.95
spoIVB	352	CD630_12130	0.78
spoIVFB	288	BSU27970	0.98
spoVAD	337	CD630_07740	0.80
spoVE	376	CD630_26520	0.88
spoVT	179	CD630_34990	0.82
tepA	244	CD630_13230	0.85
trxB	292	CD630_16910	0.81
walR	235	BSU40410	0.91
yabG	286	CD630_35690	0.85
yabP	78	CD630_24430	0.82
ybbH	283	BSU01690	0.88
ykvI	347	BSU13710	0.92
ylbJ	408	BSU15030	0.95
ylxY	319	BSU16700	0.87
ytvI	353	CD630_22730	0.77
ytxC	272	CD630_05720	0.93
yyaC	169	CD630_01290	0.83
zupT	267	CD630_10870	0.79
