species	total_cds	annotated_cds	biofilm	ab_degradation	quorum_sensing	siderophores	secretion_system_no4
Alistipes_sp_58363	2769	2045	6	3	0	4	0
Bacteroides_sartorii_54642	5679	3456	7	4	1	3	0
Paraprevotella_xylaniphila_62280	3145	2159	5	1	1	1	0
Ruminococcus_champanellensis_61009	2313	1789	3	0	1	1	4
Acidaminococcus_intestini_54097	2393	1854	2	6	1	2	2
Akkermansia_muciniphila_55290	2498	1681	4	4	0	0	3
Alistipes_finegoldii_56071	3021	2123	4	2	0	3	0
Alistipes_indistinctus_62207	2419	1770	2	2	0	2	1
Alistipes_onderdonkii_55464	3314	2290	7	3	0	4	0
Alistipes_putredinis_61533	2337	1395	2	2	0	3	0
Alistipes_senegalensis_58364	3301	2238	4	3	0	3	0
Alistipes_shahii_62199	3258	2132	3	3	0	4	0
Alistipes_sp_59510	2508	1630	1	1	0	3	1
Alistipes_sp_60764	2130	1366	2	1	0	2	0
Anaerostipes_hadrus_55206	3007	2399	4	1	2	1	0
Bacteroidales_bacterium_58650	2803	1780	3	3	0	4	0
Bacteroides_caccae_53434	3668	2817	6	4	0	6	0
Bacteroides_cellulosilyticus_58046	5068	3738	5	5	0	6	0
Bacteroides_clarus_62282	3107	2384	3	4	1	3	0
Bacteroides_coprocola_61586	3814	2592	3	5	1	3	2
Bacteroides_coprophilus_61767	3306	2381	4	4	1	4	3
Bacteroides_eggerthii_54457	4125	2838	5	8	1	7	1
Bacteroides_faecis_58503	4872	3581	10	5	0	8	0
Bacteroides_finegoldii_57739	4194	2999	5	5	0	7	0
Bacteroides_fragilis_54507	5165	3461	7	3	0	6	7
Bacteroides_fragilis_56548	4879	3367	10	4	1	6	0
Bacteroides_intestinalis_61596	4723	3565	3	5	0	7	0
Bacteroides_massiliensis_44749	4498	2912	4	4	1	3	5
Bacteroides_nordii_55557	5171	3288	7	4	0	7	0
Bacteroides_ovatus_58035	6590	4419	12	7	0	10	2
Bacteroides_pectinophilus_61619	2982	2273	4	0	5	3	2
Bacteroides_plebeius_61623	3597	2690	6	5	1	4	0
Bacteroides_salyersiae_54873	4298	3063	12	4	0	7	0
