species	total_cds	annotated_cds	biofilm	ab_degradation	quorum_sensing	siderophores	secretion_system_no4
Acidaminococcus_fermentans_61896	2092	1722	4	2	1	0	2
Acinetobacter_baylyi_46310-62977.6	3289	2688	11	8	0	22	12
Actinomyces_sp_62581	2031	1657	4	2	1	1	0
Adlercreutzia_equolifaciens_60310	2324	1860	0	2	0	2	0
Aeromonas_caviae_57221-1454008.3	4066	3356	3	10	2	8	15
Aeromonas_hydrophila_57540-1268075.3	4282	3512	6	9	2	9	18
Aeromonas_hydrophila_57782-1419584.3	4443	3597	11	11	2	8	18
Aeromonas_hydrophila_60229-1354302.3	4074	3389	10	12	2	8	15
Aggregatibacter_actinomycetemcomitans_57720-907492.3	2524	1887	5	4	3	2	1
Aggregatibacter_actinomycetemcomitans_57999-1089447.3	2245	1847	6	5	3	4	1
Alistipes_sp_58363	2769	2045	6	3	0	4	0
Anaplasma_phagocytophilum_56954-1184254.3	1444	898	0	0	0	0	1
Arcobacter_butzleri_57576-367737.6	2275	1895	5	6	1	15	3
Bacillus_anthracis_57688-1217984.3	5500	4461	8	9	1	2	2
Bacillus_anthracis_57688-261591.4	6004	3559	5	9	1	5	0
Bacillus_cereus_52301-1053181.3	5400	4209	5	6	1	3	1
Bacillus_cereus_55841-526994.3	6022	4720	12	15	4	4	4
Bacillus_cereus_56036-1053202.3	5802	4702	7	8	3	4	1
Bacillus_cereus_56751-1053229.3	5468	4344	5	7	3	3	1
Bacillus_cereus_57595-1396.149	5868	3069	7	5	1	2	0
Bacillus_cereus_57918-226900.8	5666	821	0	1	1	0	0
Bacillus_cereus_58113-1053194.3	5728	256	0	0	0	0	0
Bacillus_cereus_61731-526968.3	5728	4525	9	8	2	4	1
Bacillus_cereus_61732-526986.3	4843	3930	2	9	2	2	0
Bacillus_pumilus_56522-1225787.3	4026	3278	9	8	1	3	1
Bacteroides_barnesiae_47015	3062	2256	2	3	1	3	0
Bacteroides_fluxus_62283	3661	2706	4	4	1	4	1
Bacteroides_fragilis_54507-1339327.3	5165	3461	7	3	0	8	7
Bacteroides_fragilis_56548-457424.5	4796	3322	7	3	0	8	2
Bacteroides_ovatus_58035-1339286.3	6084	4087	7	5	0	17	0
Bacteroides_salanitronis_62074	3901	2536	4	2	1	4	8
Bacteroides_sartorii_54642	5679	3456	7	4	1	3	0
Bacteroides_stercorirosoris_59710	6259	3812	8	6	0	5	0
Bifidobacterium_angulatum_45832	1661	1400	2	0	1	0	1
Bifidobacterium_animalis_58116	1610	1337	3	0	1	0	0
Bifidobacterium_bifidum_55065	1894	1545	0	1	1	0	0
Bifidobacterium_breve_57133	2070	1707	3	2	1	0	0
Bifidobacterium_dentium_55719	2153	1821	3	0	1	0	0
Bifidobacterium_gallinarum_57128	1761	1554	3	1	1	0	0
Bifidobacterium_pseudocatenulatum_57754	1890	1611	2	1	1	0	1
Bilophila_wadsworthia_57364	4482	2876	6	1	1	1	8
Blautia_hansenii_56031	2929	2297	3	2	1	0	0
Blautia_producta_56315	5947	4325	2	3	2	0	0
Bordetella_bronchiseptica_58296-743275.4	3596	3158	12	8	0	10	4
Brucella_abortus_57261-1029825.4	3321	2680	0	4	0	4	2
Brucella_abortus_57261-35802.7	3326	2649	0	3	0	4	2
Burkholderia_pseudomallei_54177-243160.12	5724	4059	9	11	2	4	15
Burkholderia_pseudomallei_60511-1434929.3	6469	4560	17	14	2	10	15
Campylobacter_jejuni_54938-360109.10	2078	1593	3	2	1	2	3
Campylobacter_jejuni_57666-1381117.3	1996	1542	3	2	1	2	3
Campylobacter_jejuni_60245-1365662.3	3410	2749	6	7	3	1	6
Campylobacter_jejuni_62119-683083.3	1907	1485	2	2	1	2	3
Citrobacter_braakii_56022	4683	3837	29	12	1	13	12
Citrobacter_freundii_56148	4636	3920	43	17	1	13	3
Citrobacter_freundii_56776	4625	3871	34	22	1	17	2
Cloacibacillus_evryensis_54931	3280	2490	2	2	0	1	6
Clostridiaceae_bacterium_58376	3423	2744	2	1	0	0	4
Clostridiales_bacterium_52743	3929	3058	4	1	5	0	1
Clostridiales_bacterium_55184	6108	4524	4	4	1	0	2
Clostridiales_bacterium_55505	7443	4961	7	5	0	1	0
Clostridiales_bacterium_59661	3733	2683	2	2	2	1	0
Clostridiales_bacterium_59663	3348	2525	4	2	3	1	0
Clostridium_bartlettii_61535	2725	2233	5	4	1	0	1
Clostridium_butyricum_56361	4256	3516	6	5	5	0	4
Clostridium_cf_54592	3615	2637	5	3	1	0	0
Clostridium_clostridioforme_51842	6096	4231	9	6	2	0	4
Clostridium_hathewayi_55515	6899	5231	8	5	2	3	3
Clostridium_hathewayi_61827	6302	4585	7	3	0	0	3
Clostridium_paraputrificum_59909	3479	2775	5	4	3	0	2
Clostridium_perfringens_56840-195103.10	2866	2441	6	3	3	1	4
Clostridium_perfringens_56840	2866	2441	6	3	3	1	4
Clostridium_scindens_58238	3922	3107	1	4	1	0	0
Clostridium_sp_60465	3440	2769	5	6	3	0	3
Clostridium_symbiosum_54029	4727	3585	11	5	1	0	1
Collinsella_aerofaciens_61484	2110	1708	3	3	1	0	0
Collinsella_intestinalis_61689	1537	1271	1	2	0	0	0
Collinsella_sp_60729	1771	1444	1	2	1	0	0
Collinsella_tanakaei_62212	2190	1759	1	2	1	0	0
